uniqueVisitId,hitId,pagePath,ecommerce_action_type,transactionid
0786165738414050957:1482634114,0786165738414050957:1482634114:3,/google+redesign/accessories/stickers/quickview,2,
0786165738414050957:1482634114,0786165738414050957:1482634114:4,/google+redesign/accessories/stickers,1,
2061193526205671721:1482604642,2061193526205671721:1482604642:11,/revieworder.html,5,
055147035844955807:1482646465,055147035844955807:1482646465:8,/google+redesign/apparel/men++s/men++s+outerwear,1,
055147035844955807:1482646465,055147035844955807:1482646465:12,/payment.html,5,
5888035730986809120:1482593745,5888035730986809120:1482593745:4,/google+redesign/bags/backpacks,1,
322228537289095245:1482626483,322228537289095245:1482626483:10,/store.html,1,
322228537289095245:1482626483,322228537289095245:1482626483:18,/yourinfo.html,5,
6049272634188630652:1482087145,6049272634188630652:1482087145:8,/google+redesign/apparel,1,
2214927399967450243:1482126380,2214927399967450243:1482126380:6,/google+redesign/shop+by+brand/android,1,
0456585804826434876:1482097342,0456585804826434876:1482097342:5,/google+redesign/shop+by+brand/youtube,1,
0456585804826434876:1482097342,0456585804826434876:1482097342:12,/payment.html,5,
9102588366526643039:1482126667,9102588366526643039:1482126667:9,/google+redesign/office/notebooks++journals,1,
9102588366526643039:1482126667,9102588366526643039:1482126667:11,/google+redesign/office/notebooks+journals/recycled+paper+journal+set.axd,3,
2808734472707095716:1482122870,2808734472707095716:1482122870:12,/google+redesign/accessories/stickers,3,
8632811130027160361:1482113395,8632811130027160361:1482113395:7,/google+redesign/apparel/kid+s/kid+s+toddler,1,
9493021416478611124:1482070437,9493021416478611124:1482070437:10,/google+redesign/apparel/men++s/men++s+t+shirts,3,
9493021416478611124:1482070437,9493021416478611124:1482070437:27,/ordercompleted.html,6,ORD201612181997
3266555914884210654:1482056815,3266555914884210654:1482056815:8,/google+redesign/office/writing+instruments,1,
3266555914884210654:1482056815,3266555914884210654:1482056815:25,/yourinfo.html,5,
3266555914884210654:1482056815,3266555914884210654:1482056815:27,/payment.html,5,
3266555914884210654:1482056815,3266555914884210654:1482056815:28,/revieworder.html,5,
4631387008230942901:1482123086,4631387008230942901:1482123086:5,/google+redesign/office/notebooks++journals/quickview,2,
4631387008230942901:1482123086,4631387008230942901:1482123086:26,/payment.html,5,
4631387008230942901:1482123086,4631387008230942901:1482123086:30,/ordercompleted.html,6,ORD201612182020
192847875246565811:1482109221,192847875246565811:1482109221:20,/google+redesign/bags/backpacks/quickview,2,
192847875246565811:1482109221,192847875246565811:1482109221:23,/google+redesign/bags/backpacks,1,
192847875246565811:1482109221,192847875246565811:1482109221:36,/payment.html,5,
192847875246565811:1482109221,192847875246565811:1482109221:38,/revieworder.html,5,
5186081045797872289:1482097641,5186081045797872289:1482097641:11,/google+redesign/drinkware/mugs+and+cups/quickview,2,
5186081045797872289:1482097641,5186081045797872289:1482097641:12,/google+redesign/drinkware/mugs+and+cups/quickview,2,
